Xã/Phường,Quận/Huyện,Tỉnh/Thành phố,Chủ đầu tư,Tên dự án,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Thông tin khác,Lịch sử giá,Khoảng giá
Xã Đa Tốn,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,135 m²,"36,5 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng.,Không nội thất.,9 m,Tây - Nam,Tây - Nam,Đường vào: 30 m; Số tầng: 4 tầng,"Giá T10/22: 215,3 tr/m²; Giá T11/22: 200 tr/m²; Giá T12/22: 177,8 tr/m²; Giá T1/23: 175 tr/m²; Giá T2/23: 165 tr/m²; Giá T3/23: 160 tr/m²; Giá T4/23: 164,3 tr/m²; Giá T5/23: 159,7 tr/m²; Giá T6/23: 160 tr/m²; Giá T7/23: 160,7 tr/m²; Giá T8/23: 166,7 tr/m²; Giá T9/23: 184,3 tr/m²; Giá T10/23: 188,6 tr/m²; Giá T11/23: 188,5 tr/m²; Giá T12/23: 180,6 tr/m²; Giá T1/24: 185,7 tr/m²; Giá T2/24: 196,6 tr/m²; Giá T3/24: 190 tr/m²; Giá T4/24: 198,7 tr/m²; Giá T5/24: 198 tr/m²; Giá T6/24: 200 tr/m²; Giá T7/24: 204,8 tr/m²; Giá T8/24: 205,6 tr/m²; Giá T9/24: 216,7 tr/m²; Giá T10/24: 228,8 tr/m²;  ","146,7 348,7; 146,7 291,8; 133,6 271,5; 126,7 284,2; 129,7 246,2; 120 247,3; 115,4 260,8; 120 262,3; 119,5 239,6; 122,7 242,5; 126,7 292,7; 133,7 252,3; 146 279,2; 140,7 266,6; 138,6 257,9; 139,1 269,8; 146,7 312,5; 148,2 267; 155,9 262,1; 157,2 286,3; 159 290,2; 160 298,5; 160 317,3; 160 342,9; 169,4 339,9"
Xã Đông Hội,Đông Anh,Hà Nội,Tập đoàn Vingroup,Vinhomes Cổ Loa,75 m²,"19,1 tỷ",Không có thông tin,Không có thông tin,Hợp đồng mua bán,Không nội thất,5 m,Tây - Bắc,Tây - Bắc,Đường vào: 12 m; Số tầng: 5 tầng,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Cầu Diễn,Nam Từ Liêm,Hà Nội,Tập đoàn Vingroup,Vinhomes Gardenia,"226,3 m²",360 triệu/m²,Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,15 m,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 300 tr/m²; Giá T11/22: 316,8 tr/m²; Giá T12/22: 331,9 tr/m²; Giá T1/23: 333,7 tr/m²; Giá T2/23: 332,9 tr/m²; Giá T3/23: 337,1 tr/m²; Giá T4/23: 363,6 tr/m²; Giá T5/23: 365,6 tr/m²; Giá T6/23: 332,6 tr/m²; Giá T7/23: 384,5 tr/m²; Giá T8/23: 327,1 tr/m²; Giá T9/23: 321,6 tr/m²; Giá T10/23: 307,7 tr/m²; Giá T11/23: 306,5 tr/m²; Giá T12/23: 334,4 tr/m²; Giá T1/24: 333,4 tr/m²; Giá T2/24: 345,7 tr/m²; Giá T3/24: 337,1 tr/m²; Giá T4/24: 363,6 tr/m²; Giá T5/24: 338,5 tr/m²; Giá T6/24: 331,4 tr/m²; Giá T7/24: 346,8 tr/m²; Giá T8/24: 351,6 tr/m²; Giá T9/24: 360,4 tr/m²; Giá T10/24: 373,2 tr/m²;  ","263,6 421,4; 252,6 406,2; 252,2 390; 268,8 455,1; 268,8 472,7; 268,8 443; 291,3 431,5; 290,3 434,7; 258,5 385; 274,2 439,6; 276,2 439,6; 270,3 385,2; 256,9 387,3; 269,2 397,5; 284,7 393,3; 271,3 398,8; 277,8 385,3; 289,6 385,2; 290,3 402,4; 290,5 402,9; 284,3 385,4; 294,6 386; 293,8 386,3; 294,6 401,3; 315,3 431"
Phường Xuân La,Tây Hồ,Hà Nội,Công ty TNHH Phát triển T.H.T,KĐT Tây Hồ Tây - Starlake Hà Nội,132 m²,Thỏa thuận,Không có thông tin,Không có thông tin,Sổ đỏ/ Sổ hồng,Cơ bản,6 m,Không có thông tin,Không có thông tin,Số tầng: 4 tầng,"Giá T10/22: 356,1 tr/m²; Giá T11/22: 339,9 tr/m²; Giá T12/22: 380 tr/m²; Giá T1/23: 352,4 tr/m²; Giá T2/23: 388,5 tr/m²; Giá T3/23: 376,2 tr/m²; Giá T4/23: 376,6 tr/m²; Giá T5/23: 387,9 tr/m²; Giá T6/23: 374,2 tr/m²; Giá T7/23: 377,8 tr/m²; Giá T8/23: 377,9 tr/m²; Giá T9/23: 378 tr/m²; Giá T10/23: 358,5 tr/m²; Giá T11/23: 369,6 tr/m²; Giá T12/23: 375,4 tr/m²; Giá T1/24: 379,1 tr/m²; Giá T2/24: 388,3 tr/m²; Giá T3/24: 385,9 tr/m²; Giá T4/24: 400 tr/m²; Giá T5/24: 387,9 tr/m²; Giá T6/24: 390 tr/m²; Giá T7/24: 389,8 tr/m²; Giá T8/24: 400 tr/m²; Giá T9/24: 400 tr/m²; Giá T10/24: 455,4 tr/m²;  ","284 519; 278,1 471,7; 300 560; 300 494,3; 287,3 529,4; 310 547,9; 288,7 515,9; 281 572,7; 285 657; 300 750; 282,5 555,2; 279,2 518,9; 296,6 500,3; 330 706,7; 320 455,2; 330,2 436,8; 331,3 497; 304,7 520; 310,4 542,2; 303 485,7; 331,2 541,6; 314,4 592; 343,8 548,5; 333,9 745,7; 377,9 834,5"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,50 m²,Thỏa thuận,2 phòng,1 phòng,Hợp đồng mua bán.,Đầy đủ.,Không có thông tin,Đông - Nam,Không có thông tin,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường Phúc La,Hà Đông,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị mới Văn Quán,68 m²,"13,5 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ chính chủ.,Không có thông tin,"4,2 m",Không có thông tin,Không có thông tin,Số tầng: 5 tầng,"Giá T10/22: 180,8 tr/m²; Giá T11/22: 183,8 tr/m²; Giá T12/22: 198,3 tr/m²; Giá T1/23: 169,3 tr/m²; Giá T2/23: 169,8 tr/m²; Giá T3/23: 170,8 tr/m²; Giá T4/23: 170,9 tr/m²; Giá T5/23: 168,2 tr/m²; Giá T6/23: 180,1 tr/m²; Giá T7/23: 191,8 tr/m²; Giá T8/23: 168,1 tr/m²; Giá T9/23: 179 tr/m²; Giá T10/23: 172,9 tr/m²; Giá T11/23: 175,3 tr/m²; Giá T12/23: 185,6 tr/m²; Giá T1/24: 185,9 tr/m²; Giá T2/24: 194,8 tr/m²; Giá T3/24: 206,3 tr/m²; Giá T4/24: 236,1 tr/m²; Giá T5/24: 234,8 tr/m²; Giá T6/24: 235,5 tr/m²; Giá T7/24: 244,5 tr/m²; Giá T8/24: 241,3 tr/m²; Giá T9/24: 227,2 tr/m²; Giá T10/24: 250 tr/m²;  ","144,2 269,9; 149,9 283,9; 153,8 298,7; 142,9 220,3; 135,1 261,6; 138,1 275,9; 131,3 240,1; 125,4 252,4; 124,4 232; 131,7 293,5; 125,3 251,4; 129,4 257; 117,9 255,9; 131,6 238,1; 117,7 269,4; 117 284,7; 142,9 288,5; 158,5 316,2; 180,2 321,6; 180,8 447,1; 177,9 396,3; 188,2 379,2; 192,8 359,9; 192,8 337,7; 200 347,3"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,50 m²,Thỏa thuận,2 phòng,1 phòng,Hợp đồng mua bán.,Đầy đủ.,Không có thông tin,Đông - Nam,Không có thông tin,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Xã Dương Xá,Gia Lâm,Hà Nội,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,"63,6 m²","2,9 tỷ",2 phòng,1 phòng,Có sổ.,Full nội thất.,Không có thông tin,Đông - Nam,Tây - Bắc,Không có thông tin,"Giá T10/22: 31,6 tr/m²; Giá T11/22: 30,6 tr/m²; Giá T12/22: 29,8 tr/m²; Giá T1/23: 29,8 tr/m²; Giá T2/23: 29,7 tr/m²; Giá T3/23: 30,2 tr/m²; Giá T4/23: 30,7 tr/m²; Giá T5/23: 30,7 tr/m²; Giá T6/23: 30,7 tr/m²; Giá T7/23: 30,2 tr/m²; Giá T8/23: 30,6 tr/m²; Giá T9/23: 31,3 tr/m²; Giá T10/23: 31,9 tr/m²; Giá T11/23: 32,4 tr/m²; Giá T12/23: 32,4 tr/m²; Giá T1/24: 33,4 tr/m²; Giá T2/24: 33,8 tr/m²; Giá T3/24: 36,4 tr/m²; Giá T4/24: 39,4 tr/m²; Giá T5/24: 39,1 tr/m²; Giá T6/24: 40,3 tr/m²; Giá T7/24: 41,7 tr/m²; Giá T8/24: 45,4 tr/m²; Giá T9/24: 48 tr/m²; Giá T10/24: 50,7 tr/m²;  ","27,4 45; 27,2 41,4; 26,5 38,3; 25,4 42,5; 25,7 41,5; 26,1 40,4; 26 40,2; 25,8 39,3; 26,4 37,8; 26,1 37,6; 27 40; 26,7 42; 27,4 39; 28,1 40; 28,7 41,1; 29,3 42,5; 30 41,9; 31,7 46,6; 34,3 48,3; 35 46,3; 35,6 47,4; 37,5 50,5; 40,2 55,2; 41,9 59,7; 43,3 62,7"
Phường Yên Hòa,Cầu Giấy,Hà Nội,Tổng Công ty CP Đầu tư Xây dựng và Thương mại Việt Nam,Chung cư CT6 Constrexim,110 m²,"5,85 tỷ",3 phòng,2 phòng,Sổ đỏ chính chủ.,"Nội thất hoàn thiện rất đẹp: Thay mới cửa chính và các phòng ngủ, làm lại hệ thống điện nước, ốp lát thay mới thiết bị vệ sinh, hệ tủ bếp gỗ tự nhiên Xoan Đào, giường tủ các phòng để lại toàn bộ",Không có thông tin,Không có thông tin,Đông - Nam,Không có thông tin,"Giá Q3/22: 31,5 tr/m²; Giá Q3/22: 31,5 tr/m²; Giá Q4/22: 33,6 tr/m²; Giá Q4/22: 33,6 tr/m²; Giá Q4/22: 33,6 tr/m²; Giá Q1/23: 32,9 tr/m²; Giá Q1/23: 32,9 tr/m²; Giá Q1/23: 32,9 tr/m²; Giá Q2/23: 32,9 tr/m²; Giá Q2/23: 32,9 tr/m²; Giá Q2/23: 32,9 tr/m²; Giá Q3/23: 32,9 tr/m²; Giá Q3/23: 32,9 tr/m²; Giá Q3/23: 32,9 tr/m²; Giá Q4/23: 39,8 tr/m²; Giá Q4/23: 39,8 tr/m²; Giá Q4/23: 39,8 tr/m²; Giá Q1/24: 43 tr/m²; Giá Q1/24: 43 tr/m²; Giá Q1/24: 43 tr/m²; Giá Q2/24: 48,5 tr/m²; Giá Q2/24: 48,5 tr/m²; Giá Q2/24: 48,5 tr/m²; Giá Q3/24: 46 tr/m²; Giá Q3/24: 46 tr/m²;  ","30,6 35,3; 30,6 35,3; 29,5 35,5; 29,5 35,5; 29,5 35,5; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 31,7 37,9; 37 43,5; 37 43,5; 37 43,5; 38,8 45,6; 38,8 45,6; 38,8 45,6; 42,7 52,1; 42,7 52,1; 42,7 52,1; 42,9 57,8; 42,9 57,8"
Phú Thượng,Tây Hồ,Hà Nội,Kita Group,Kita Capital Ciputra,150 m²,"45,48 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,7 m,Tây - Nam,Tây - Nam,"Đường vào: 11,5 m; Số tầng: 4 tầng",Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Phúc La,Hà Đông,Hà Nội,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị mới Văn Quán,68 m²,"13,5 tỷ",Không có thông tin,Không có thông tin,Sổ đỏ chính chủ.,Không có thông tin,"4,2 m",Không có thông tin,Không có thông tin,Số tầng: 5 tầng,"Giá T10/22: 180,8 tr/m²; Giá T11/22: 183,8 tr/m²; Giá T12/22: 198,3 tr/m²; Giá T1/23: 169,3 tr/m²; Giá T2/23: 169,8 tr/m²; Giá T3/23: 170,8 tr/m²; Giá T4/23: 170,9 tr/m²; Giá T5/23: 168,2 tr/m²; Giá T6/23: 180,1 tr/m²; Giá T7/23: 191,8 tr/m²; Giá T8/23: 168,1 tr/m²; Giá T9/23: 179 tr/m²; Giá T10/23: 172,9 tr/m²; Giá T11/23: 175,3 tr/m²; Giá T12/23: 185,6 tr/m²; Giá T1/24: 185,9 tr/m²; Giá T2/24: 194,8 tr/m²; Giá T3/24: 206,3 tr/m²; Giá T4/24: 236,1 tr/m²; Giá T5/24: 234,8 tr/m²; Giá T6/24: 235,5 tr/m²; Giá T7/24: 244,5 tr/m²; Giá T8/24: 241,3 tr/m²; Giá T9/24: 227,2 tr/m²; Giá T10/24: 250 tr/m²;  ","144,2 269,9; 149,9 283,9; 153,8 298,7; 142,9 220,3; 135,1 261,6; 138,1 275,9; 131,3 240,1; 125,4 252,4; 124,4 232; 131,7 293,5; 125,3 251,4; 129,4 257; 117,9 255,9; 131,6 238,1; 117,7 269,4; 117 284,7; 142,9 288,5; 158,5 316,2; 180,2 321,6; 180,8 447,1; 177,9 396,3; 188,2 379,2; 192,8 359,9; 192,8 337,7; 200 347,3"
Ngã Tư Sở,Đống Đa,Hà Nội,Đang cập nhật,The Ninety Complex,69 m²,75 triệu,2 phòng,2 phòng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá Q3/22: 61 tr/m²; Giá Q3/22: 61 tr/m²; Giá Q4/22: 73 tr/m²; Giá Q4/22: 73 tr/m²; Giá Q4/22: 73 tr/m²; Giá Q1/23: 73 tr/m²; Giá Q1/23: 73 tr/m²; Giá Q1/23: 73 tr/m²; Giá Q2/23: 73 tr/m²; Giá Q2/23: 73 tr/m²; Giá Q2/23: 73 tr/m²; Giá Q3/23: 73 tr/m²; Giá Q3/23: 73 tr/m²; Giá Q3/23: 73 tr/m²; Giá Q4/23: 73 tr/m²; Giá Q4/23: 73 tr/m²; Giá Q4/23: 73 tr/m²; Giá Q1/24: 73 tr/m²; Giá Q1/24: 73 tr/m²; Giá Q1/24: 73 tr/m²; Giá Q2/24: 90,8 tr/m²; Giá Q2/24: 90,8 tr/m²; Giá Q2/24: 90,8 tr/m²; Giá Q3/24: 86,5 tr/m²; Giá Q3/24: 86,5 tr/m²;  ","54,7 73; 54,7 73; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 64 75; 73 96,9; 73 96,9; 73 96,9; 71,4 95,1; 71,4 95,1"
Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,Công ty CP Đầu tư và Thương mại Thăng Long,Hà Nội Paragon,108 m²,"6,4 tỷ",3 phòng,2 phòng,Đang chờ sổ,Cơ bản,Không có thông tin,Nam,Bắc,Không có thông tin,"Giá Q3/22: 39,9 tr/m²; Giá Q3/22: 39,9 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q3/24: 55,1 tr/m²; Giá Q3/24: 55,1 tr/m²;  ","32,7 56,6; 32,7 56,6; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 33,4 50; 33,4 50; 33,4 50; 45,8 53; 45,8 53; 45,8 53; 44,7 53,9; 44,7 53,9; 44,7 53,9; 49 59,9; 49 59,9; 49 59,9; 50,6 61,2; 50,6 61,2; 50,6 61,2; 51,6 62,6; 51,6 62,6"
Phường Yên Hòa,Cầu Giấy,Hà Nội,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC,Park View City,122 m²,83 triệu/m²,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá Q3/22: 46,1 tr/m²; Giá Q3/22: 46,1 tr/m²; Giá Q4/22: 46,5 tr/m²; Giá Q4/22: 46,5 tr/m²; Giá Q4/22: 46,5 tr/m²; Giá Q1/23: 55,2 tr/m²; Giá Q1/23: 55,2 tr/m²; Giá Q1/23: 55,2 tr/m²; Giá Q2/23: 54,5 tr/m²; Giá Q2/23: 54,5 tr/m²; Giá Q2/23: 54,5 tr/m²; Giá Q3/23: 54,2 tr/m²; Giá Q3/23: 54,2 tr/m²; Giá Q3/23: 54,2 tr/m²; Giá Q4/23: 55 tr/m²; Giá Q4/23: 55 tr/m²; Giá Q4/23: 55 tr/m²; Giá Q1/24: 61,2 tr/m²; Giá Q1/24: 61,2 tr/m²; Giá Q1/24: 61,2 tr/m²; Giá Q2/24: 73,2 tr/m²; Giá Q2/24: 73,2 tr/m²; Giá Q2/24: 73,2 tr/m²; Giá Q3/24: 83,2 tr/m²; Giá Q3/24: 83,2 tr/m²;  ","41,8 55; 41,8 55; 41,1 58,3; 41,1 58,3; 41,1 58,3; 47,8 60,1; 47,8 60,1; 47,8 60,1; 50 59,3; 50 59,3; 50 59,3; 46,5 62,2; 46,5 62,2; 46,5 62,2; 49 61,5; 49 61,5; 49 61,5; 52,9 64,9; 52,9 64,9; 52,9 64,9; 60 123,2; 60 123,2; 60 123,2; 68,1 110,1; 68,1 110,1"
Phường Tây Mỗ,Nam Từ Liêm,Hà Nội,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,"63,2 m²","3,6 tỷ",2 phòng,Không có thông tin,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Đông - Nam,Không có thông tin,Không có dữ liệu lịch sử giá,Không có dữ liệu lịch sử khoảng giá
Phường Mễ Trì,Nam Từ Liêm,Hà Nội.,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,"93,5 m²",41 tỷ,5 phòng,5 phòng,Không có thông tin,"Đầy đủ. - Đã hoàn thiện nội thất đẹp, chỉ việc xách vali về ở.","5,5 m",Không có thông tin,Không có thông tin,Số tầng: 5 tầng,"Giá T10/22: 385,6 tr/m²; Giá T10/22: 385,6 tr/m²; Giá T11/22: 404,2 tr/m²; Giá T12/22: 354,3 tr/m²; Giá T1/23: 401,3 tr/m²; Giá T2/23: 403,2 tr/m²; Giá T3/23: 429,6 tr/m²; Giá T4/23: 459,4 tr/m²; Giá T6/23: 433,9 tr/m²; Giá T7/23: 443 tr/m²; Giá T8/23: 451,8 tr/m²; Giá T9/23: 494 tr/m²; Giá T10/23: 457,8 tr/m²; Giá T11/23: 457,1 tr/m²; Giá T12/23: 489,6 tr/m²; Giá T1/24: 489,6 tr/m²; Giá T2/24: 620,6 tr/m²; Giá T3/24: 451,1 tr/m²; Giá T4/24: 432,1 tr/m²; Giá T5/24: 473,3 tr/m²; Giá T6/24: 466,7 tr/m²; Giá T7/24: 483 tr/m²; Giá T8/24: 488,4 tr/m²; Giá T9/24: 440,9 tr/m²; Giá T10/24: 457,6 tr/m²;  ","238,6 474,7; 238,6 474,7; 365,5 472,7; 171,1 454,9; 199,3 500; 192,3 725,7; 192,9 814,9; 220 701,1; 302,1 702,5; 353 663,8; 385,2 713,5; 428,9 677,7; 332,8 660,1; 166,9 514,8; 395,5 693,8; 408 591,5; 417,1 651,9; 389,6 617,6; 387,6 563,9; 397,8 566,3; 381,7 606,1; 392,9 1.005,3; 287,3 1.007,3; 270,6 1.145,2; 257,3 1.077,9"
Phường Tây Mỗ,Nam Từ Liêm,Hà Nội.,Tập đoàn Vingroup,Vinhomes Smart City,82 m²,"4,7 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,"Giá T10/22: 41,9 tr/m²; Giá T11/22: 41,7 tr/m²; Giá T12/22: 41,6 tr/m²; Giá T1/23: 42 tr/m²; Giá T2/23: 41,9 tr/m²; Giá T3/23: 41,7 tr/m²; Giá T4/23: 41,8 tr/m²; Giá T5/23: 40,9 tr/m²; Giá T6/23: 41,4 tr/m²; Giá T7/23: 42 tr/m²; Giá T8/23: 43,1 tr/m²; Giá T9/23: 43,7 tr/m²; Giá T10/23: 44,2 tr/m²; Giá T11/23: 45,7 tr/m²; Giá T12/23: 46,7 tr/m²; Giá T1/24: 47,6 tr/m²; Giá T2/24: 47,2 tr/m²; Giá T3/24: 51,2 tr/m²; Giá T4/24: 52,3 tr/m²; Giá T5/24: 53,5 tr/m²; Giá T6/24: 54,7 tr/m²; Giá T7/24: 55,9 tr/m²; Giá T8/24: 59,9 tr/m²; Giá T9/24: 62,8 tr/m²; Giá T10/24: 64,4 tr/m²;  ","36,6 48,5; 36,4 51,8; 35,7 50; 37 48,9; 36 53,2; 36,7 50,9; 37 52; 37 51,6; 36,5 53; 37,1 50,3; 38 51,5; 38,8 54,7; 40 54; 41,7 60,1; 41,8 56; 40,1 57,1; 40,5 55,7; 41,7 62,5; 44,6 63,6; 45,9 62,8; 48,4 61,6; 47,2 65,6; 51,7 70; 53,4 73,4; 58,3 75,9"
Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,Công ty CP Đầu tư và Thương mại Thăng Long,Hà Nội Paragon,108 m²,"6,4 tỷ",3 phòng,2 phòng,Đang chờ sổ,Cơ bản,Không có thông tin,Nam,Bắc,Không có thông tin,"Giá Q3/22: 39,9 tr/m²; Giá Q3/22: 39,9 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q4/22: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q1/23: 38,8 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q2/23: 45 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q3/23: 48,1 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q4/23: 48,5 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q1/24: 54 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q2/24: 54,2 tr/m²; Giá Q3/24: 55,1 tr/m²; Giá Q3/24: 55,1 tr/m²;  ","32,7 56,6; 32,7 56,6; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 35 50,1; 33,4 50; 33,4 50; 33,4 50; 45,8 53; 45,8 53; 45,8 53; 44,7 53,9; 44,7 53,9; 44,7 53,9; 49 59,9; 49 59,9; 49 59,9; 50,6 61,2; 50,6 61,2; 50,6 61,2; 51,6 62,6; 51,6 62,6"
